Eventid,Name,Starttime,Endtime,Latitude,Longitude,Type,AreaTotal,AreaSource,AreaSourceLow,AreaSourceHigh,Volume,VolumeLow,VolumeHigh,Mass,MassLow,MassHigh,H,HLow,HHigh,StationNetwork,StationName,StationChannel,StationLocationCode,StationLatitude,StationLongitude,StationElevation,RecordSource,StationDistance,DetectHF,DetectLP,DetectVHF,if_downloaded,StationChannel_Available,SignalSamplingRate,if_processed,SNR,Spec2VecProcessed
6,Mount St Helens,1980-05-18 15:32:11,1980-05-18 15:44:00,46.1905,-122.1896,rock slide-debris avalanche,60000000.0,,,,2500000000.0,2300000000.0,2800000000.0,4600000000000.0,2500000000000.0,5800000000000.0,2550.0,,,UW,RAN,EHZ,,46.408169,-121.864807,1620.0,IRIS,34.808,1.0,,,True,EHZ,104.07801418439716,True,5.249395676010927,True
6,Mount St Helens,1980-05-18 15:32:11,1980-05-18 15:44:00,46.1905,-122.1896,rock slide-debris avalanche,60000000.0,,,,2500000000.0,2300000000.0,2800000000.0,4600000000000.0,2500000000000.0,5800000000000.0,2550.0,,,UW,COW,EHZ,,46.49083,-122.01332,305.0,IRIS,36.037,1.0,,,True,EHZ,104.07801418439716,True,4.409977686820114,False
6,Mount St Helens,1980-05-18 15:32:11,1980-05-18 15:44:00,46.1905,-122.1896,rock slide-debris avalanche,60000000.0,,,,2500000000.0,2300000000.0,2800000000.0,4600000000000.0,2500000000000.0,5800000000000.0,2550.0,,,UW,LMW,EHZ,,46.66783,-122.29255,1195.0,IRIS,53.647,1.0,,,True,EHZ,104.07801418439716,True,6.013895746333112,True
7,Mount Adams,1997-10-20 07:31:22,1997-10-20 07:36:56,46.20171,-121.48164,rock and ice avalanche,,,,,3600000.0,2700000.0,4600000.0,,,,1700.0,1800.0,1600.0,UW,LON,BHZ,,46.7506,-121.8096,853.0,IRIS,66.103,1.0,1.0,,False,,,False,0.0,False
7,Mount Adams,1997-10-20 07:31:22,1997-10-20 07:36:56,46.20171,-121.48164,rock and ice avalanche,,,,,3600000.0,2700000.0,4600000.0,,,,1700.0,1800.0,1600.0,UW,RAI,BHZ,,46.0403,-122.8851,1520.0,IRIS,109.894,1.0,0.0,,True,BHZ,20.0,True,5.181778956963714,True
7,Mount Adams,1997-10-20 07:31:22,1997-10-20 07:36:56,46.20171,-121.48164,rock and ice avalanche,,,,,3600000.0,2700000.0,4600000.0,,,,1700.0,1800.0,1600.0,UW,TTW,BHZ,,47.69445,-121.69011,542.0,IRIS,166.819,1.0,1.0,,True,BHZ,50.0,True,4.024619357244646,True
7,Mount Adams,1997-10-20 07:31:22,1997-10-20 07:36:56,46.20171,-121.48164,rock and ice avalanche,,,,,3600000.0,2700000.0,4600000.0,,,,1700.0,1800.0,1600.0,UW,RWW,BHZ,,46.96473,-123.54341,15.0,IRIS,179.364,1.0,1.0,,True,BHZ,50.0,True,6.086472893312525,True
7,Mount Adams,1997-10-20 07:31:22,1997-10-20 07:36:56,46.20171,-121.48164,rock and ice avalanche,,,,,3600000.0,2700000.0,4600000.0,,,,1700.0,1800.0,1600.0,UW,GNW,BHZ,,47.56413,-122.82498,220.0,IRIS,182.892,1.0,1.0,,True,BHZ,50.0,True,7.251362309056701,True
8,Mount Adams,2008-08-01 14:42:38,2008-08-01 14:46:13,46.200424,-121.499309,rock and ice avalanche,880000.0,73000.0,50000.0,110000.0,1700000.0,1200000.0,2500000.0,,,,1300.0,1000.0,1400.0,UW,ASR,EHZ,,46.15259,-121.60164,1357.0,IRIS,9.157,1.0,,,True,EHZ,100.0,True,63.08905976514231,True
8,Mount Adams,2008-08-01 14:42:38,2008-08-01 14:46:13,46.200424,-121.499309,rock and ice avalanche,880000.0,73000.0,50000.0,110000.0,1700000.0,1200000.0,2500000.0,,,,1300.0,1000.0,1400.0,UW,GUL,EHZ,,45.92401,-121.59675,1189.0,IRIS,31.453,1.0,,,True,EHZ,100.0,True,36.99142498499167,True
8,Mount Adams,2008-08-01 14:42:38,2008-08-01 14:46:13,46.200424,-121.499309,rock and ice avalanche,880000.0,73000.0,50000.0,110000.0,1700000.0,1200000.0,2500000.0,,,,1300.0,1000.0,1400.0,UW,CDF,EHZ,,46.11689,-122.04623,756.0,IRIS,42.863,1.0,,,True,EHZ,100.0,True,8.61044651138059,True
8,Mount Adams,2008-08-01 14:42:38,2008-08-01 14:46:13,46.200424,-121.499309,rock and ice avalanche,880000.0,73000.0,50000.0,110000.0,1700000.0,1200000.0,2500000.0,,,,1300.0,1000.0,1400.0,UW,SOS,EHZ,,46.24386,-122.13787,1270.0,IRIS,49.137,1.0,,,True,EHZ,100.0,True,3.8816355529721647,False
8,Mount Adams,2008-08-01 14:42:38,2008-08-01 14:46:13,46.200424,-121.499309,rock and ice avalanche,880000.0,73000.0,50000.0,110000.0,1700000.0,1200000.0,2500000.0,,,,1300.0,1000.0,1400.0,UW,EDM,EHZ,,46.19717,-122.15121,1609.0,IRIS,49.94,1.0,,,True,EHZ,100.0,True,6.323166626916256,True
8,Mount Adams,2008-08-01 14:42:38,2008-08-01 14:46:13,46.200424,-121.499309,rock and ice avalanche,880000.0,73000.0,50000.0,110000.0,1700000.0,1200000.0,2500000.0,,,,1300.0,1000.0,1400.0,UW,JUN,EHZ,,46.14706,-122.15243,1049.0,IRIS,50.395,1.0,,,True,EHZ,100.0,True,5.790472773257974,False
8,Mount Adams,2008-08-01 14:42:38,2008-08-01 14:46:13,46.200424,-121.499309,rock and ice avalanche,880000.0,73000.0,50000.0,110000.0,1700000.0,1200000.0,2500000.0,,,,1300.0,1000.0,1400.0,XU,E060,BHZ,,46.6265,-121.2645,952.2,IRIS,50.912,1.0,1.0,,True,BHZ,50.0,True,17.57577773496411,True
8,Mount Adams,2008-08-01 14:42:38,2008-08-01 14:46:13,46.200424,-121.499309,rock and ice avalanche,880000.0,73000.0,50000.0,110000.0,1700000.0,1200000.0,2500000.0,,,,1300.0,1000.0,1400.0,UW,HSR,EHZ,,46.17428,-122.18065,1720.0,IRIS,52.298,1.0,,,True,EHZ,100.0,True,5.842756693237487,False
8,Mount Adams,2008-08-01 14:42:38,2008-08-01 14:46:13,46.200424,-121.499309,rock and ice avalanche,880000.0,73000.0,50000.0,110000.0,1700000.0,1200000.0,2500000.0,,,,1300.0,1000.0,1400.0,CC,VALT,BHZ,,46.21422,-122.18925,1681.0,IRIS,52.893,1.0,0.0,,True,BHZ,50.0,True,3.8507528445564696,False
8,Mount Adams,2008-08-01 14:42:38,2008-08-01 14:46:13,46.200424,-121.499309,rock and ice avalanche,880000.0,73000.0,50000.0,110000.0,1700000.0,1200000.0,2500000.0,,,,1300.0,1000.0,1400.0,CC,SEP,EHZ,,46.20021,-122.1906,2116.0,IRIS,52.979,1.0,,,True,EHZ,100.0,True,3.1342442790580067,False
9,Mount Adams,1997-10-24 14:29:03,1997-10-24 14:31:19,46.20171,-121.48164,rock fall,,,,,,,,,,,1200.0,1100.0,1300.0,UW,ASR,EHZ,,46.15259,-121.60164,1357.0,IRIS,10.66,1.0,,,True,EHZ,99.9190031152648,True,10.166110292610789,True
9,Mount Adams,1997-10-24 14:29:03,1997-10-24 14:31:19,46.20171,-121.48164,rock fall,,,,,,,,,,,1200.0,1100.0,1300.0,UW,GUL,EHZ,,45.92401,-121.59675,1189.0,IRIS,32.001,1.0,,,True,EHZ,99.9190031152648,True,8.149906310939695,True
9,Mount Adams,1997-10-24 14:29:03,1997-10-24 14:31:19,46.20171,-121.48164,rock fall,,,,,,,,,,,1200.0,1100.0,1300.0,UW,GLK,EHZ,,46.5575,-121.61073,1305.0,IRIS,40.882,1.0,,,True,EHZ,99.9190031152648,True,8.26157078055262,True
9,Mount Adams,1997-10-24 14:29:03,1997-10-24 14:31:19,46.20171,-121.48164,rock fall,,,,,,,,,,,1200.0,1100.0,1300.0,UW,CDF,EHZ,,46.11689,-122.04623,756.0,IRIS,44.553,1.0,,,True,EHZ,99.9190031152648,True,5.822559867798496,True
10,Mount St Helens,2006-05-29 16:08:08,2006-05-29 16:11:21,46.1957,-122.188,rock fall,,,,,75000.0,50000.0,100000.0,,,,380.0,330.0,400.0,CC,SEP,EHZ,,46.20021,-122.1906,2116.0,IRIS,0.387,1.0,,,True,EHZ,100.0,True,36.75830029804835,False
10,Mount St Helens,2006-05-29 16:08:08,2006-05-29 16:11:21,46.1957,-122.188,rock fall,,,,,75000.0,50000.0,100000.0,,,,380.0,330.0,400.0,UW,HSR,EHZ,,46.17428,-122.18065,1720.0,IRIS,2.672,1.0,,,True,EHZ,100.0,True,44.987682858707146,True
10,Mount St Helens,2006-05-29 16:08:08,2006-05-29 16:11:21,46.1957,-122.188,rock fall,,,,,75000.0,50000.0,100000.0,,,,380.0,330.0,400.0,UW,EDM,EHZ,,46.19717,-122.15121,1609.0,IRIS,2.748,1.0,,,True,EHZ,100.0,True,13.557119399948752,False
10,Mount St Helens,2006-05-29 16:08:08,2006-05-29 16:11:21,46.1957,-122.188,rock fall,,,,,75000.0,50000.0,100000.0,,,,380.0,330.0,400.0,YB,S07,HHZ,2.0,46.1993,-122.1462,1435.0,IRIS,3.137,1.0,,,True,HHZ,100.0,True,52.06922026041843,True
10,Mount St Helens,2006-05-29 16:08:08,2006-05-29 16:11:21,46.1957,-122.188,rock fall,,,,,75000.0,50000.0,100000.0,,,,380.0,330.0,400.0,UW,SHW,EHZ,,46.19347,-122.23635,1425.0,IRIS,3.857,1.0,,,True,EHZ,100.0,True,36.55469383716407,False
10,Mount St Helens,2006-05-29 16:08:08,2006-05-29 16:11:21,46.1957,-122.188,rock fall,,,,,75000.0,50000.0,100000.0,,,,380.0,330.0,400.0,CC,STD,BHZ,,46.23761,-122.22396,1268.0,IRIS,5.26,1.0,,,True,BHZ,50.0,True,54.50008831898968,True
10,Mount St Helens,2006-05-29 16:08:08,2006-05-29 16:11:21,46.1957,-122.188,rock fall,,,,,75000.0,50000.0,100000.0,,,,380.0,330.0,400.0,UW,STD,EHZ,,46.23761,-122.22396,1268.0,IRIS,5.26,1.0,,,True,EHZ,100.0,True,36.94209791450188,False
10,Mount St Helens,2006-05-29 16:08:08,2006-05-29 16:11:21,46.1957,-122.188,rock fall,,,,,75000.0,50000.0,100000.0,,,,380.0,330.0,400.0,UW,JUN,EHZ,,46.14706,-122.15243,1049.0,IRIS,6.247,1.0,,,True,EHZ,100.0,True,65.57942227325495,True
10,Mount St Helens,2006-05-29 16:08:08,2006-05-29 16:11:21,46.1957,-122.188,rock fall,,,,,75000.0,50000.0,100000.0,,,,380.0,330.0,400.0,UW,SOS,EHZ,,46.24386,-122.13787,1270.0,IRIS,6.349,1.0,,,True,EHZ,100.0,True,41.70088638935939,True
